2h2s rr ['0.11', '0.89']
2h3h rr ['1.00', '0.00']
2h3s rr ['1.00', '0.00']
2h4h rr ['1.00', '0.00']
2h4s rr ['1.00', '0.00']
2h5h rr ['1.00', '0.00']
2h5s rr ['1.00', '0.00']
2h6h rr ['1.00', '0.00']
2h6s rr ['1.00', '0.00']
2h7h rr ['1.00', '0.00']
2h7s rr ['1.00', '0.00']
2h8h rr ['1.00', '0.00']
2h8s rr ['1.00', '0.00']
2h9h rr ['1.00', '0.00']
2h9s rr ['1.00', '0.00']
2hAh rr ['0.82', '0.18']
2hAs rr ['0.96', '0.04']
2hJh rr ['0.98', '0.02']
2hJs rr ['1.00', '0.00']
2hKh rr ['0.98', '0.02']
2hKs rr ['0.99', '0.01']
2hQh rr ['0.99', '0.01']
2hQs rr ['1.00', '0.00']
2hTh rr ['1.00', '0.00']
2hTs rr ['0.99', '0.01']
3h3s rr ['0.00', '1.00']
3h4h rr ['1.00', '0.00']
3h4s rr ['1.00', '0.00']
3h5h rr ['1.00', '0.00']
3h5s rr ['1.00', '0.00']
3h6h rr ['1.00', '0.00']
3h6s rr ['1.00', '0.00']
3h7h rr ['1.00', '0.00']
3h7s rr ['1.00', '0.00']
3h8h rr ['1.00', '0.00']
3h8s rr ['1.00', '0.00']
3h9h rr ['1.00', '0.00']
3h9s rr ['1.00', '0.00']
3hAh rr ['0.84', '0.16']
3hAs rr ['0.93', '0.07']
3hJh rr ['1.00', '0.00']
3hJs rr ['1.00', '0.00']
3hKh rr ['0.98', '0.02']
3hKs rr ['0.98', '0.02']
3hQh rr ['1.00', '0.00']
3hQs rr ['1.00', '0.00']
3hTh rr ['1.00', '0.00']
3hTs rr ['0.99', '0.01']
4h4s rr ['0.00', '1.00']
4h5h rr ['1.00', '0.00']
4h5s rr ['1.00', '0.00']
4h6h rr ['1.00', '0.00']
4h6s rr ['1.00', '0.00']
4h7h rr ['1.00', '0.00']
4h7s rr ['1.00', '0.00']
4h8h rr ['1.00', '0.00']
